2023-03-31 10:44:30.227 [Thread-4] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder -[shutdown] Line:108- [HttpClientBeanHolder] Start destroying common HttpClient
2023-03-31 10:44:30.227 [Thread-9] WARN  com.alibaba.nacos.common.notify.NotifyCenter -[shutdown] Line:136- [NotifyCenter] Start destroying Publisher
2023-03-31 10:44:30.253 [Thread-9] WARN  com.alibaba.nacos.common.notify.NotifyCenter -[shutdown] Line:153- [NotifyCenter] Destruction of the end
2023-03-31 10:44:30.255 [Thread-4] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder -[shutdown] Line:114- [HttpClientBeanHolder] Destruction of the end
2023-03-31 10:44:35.627 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder -[loadNacosData] Line:87 - Ignore the empty nacos configuration and get it based on dataId[springboot-admin-service] & group[DEFAULT_GROUP]
2023-03-31 10:44:35.640 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder -[loadNacosData] Line:87 - Ignore the empty nacos configuration and get it based on dataId[springboot-admin-service.yml] & group[DEFAULT_GROUP]
2023-03-31 10:45:38.834 [Thread-3] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder -[shutdown] Line:108- [HttpClientBeanHolder] Start destroying common HttpClient
2023-03-31 10:45:38.834 [Thread-8] WARN  com.alibaba.nacos.common.notify.NotifyCenter -[shutdown] Line:136- [NotifyCenter] Start destroying Publisher
2023-03-31 10:45:38.843 [Thread-3] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder -[shutdown] Line:114- [HttpClientBeanHolder] Destruction of the end
2023-03-31 10:45:38.843 [Thread-8] WARN  com.alibaba.nacos.common.notify.NotifyCenter -[shutdown] Line:153- [NotifyCenter] Destruction of the end
2023-03-31 10:45:44.821 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder -[loadNacosData] Line:87 - Ignore the empty nacos configuration and get it based on dataId[springboot-admin-service] & group[DEFAULT_GROUP]
2023-03-31 10:45:44.834 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder -[loadNacosData] Line:87 - Ignore the empty nacos configuration and get it based on dataId[springboot-admin-service.yml] & group[DEFAULT_GROUP]
2023-03-31 10:49:41.924 [Thread-9] WARN  com.alibaba.nacos.common.notify.NotifyCenter -[shutdown] Line:136- [NotifyCenter] Start destroying Publisher
2023-03-31 10:49:41.924 [Thread-3] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder -[shutdown] Line:108- [HttpClientBeanHolder] Start destroying common HttpClient
2023-03-31 10:49:41.935 [Thread-9] WARN  com.alibaba.nacos.common.notify.NotifyCenter -[shutdown] Line:153- [NotifyCenter] Destruction of the end
2023-03-31 10:49:41.943 [Thread-3] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder -[shutdown] Line:114- [HttpClientBeanHolder] Destruction of the end
